DISTRITO,TARIFA,CARTERA,consumo_promedio,consumo_std,importe_promedio,importe_std,consumo_minimo,consumo_maximo,total_registros
LA LIBERTAD DE PALLAN,BT5B,COMÚN,25.54609929078014,80.97479728976307,27.931914893617012,83.9564234699867,1.0,990.0,282
LA LIBERTAD DE PALLAN,MT3,M,3519.8315142857145,703.8155494859291,1968.5095238095241,320.2835601537518,2270.0166,4025.02,21
LA LIBERTAD DE PALLAN,MT3,MAYOR,2334.0,0.0,1441.0,0.0,2334.0,2334.0,1
LA MERCED,BT5B,C,41.48558497011102,83.01536335777477,39.06723598064331,82.08744781337789,0.4,2476.0,3513
LA MERCED,BT5B,COMÚN,34.733333333333334,47.4510273861378,34.80296296296297,49.306484301158704,1.0,381.0,135
LA MERCED,MT3,M,18878.59156975308,42090.77310568514,11186.503703703702,23589.669617535088,388.065,155790.0,162
LA MERCED,MT3,MAYOR,11717.5,26451.03950131261,7328.533333333333,15610.345998941428,465.0,65705.0,6
LA MERCED,MT4,M,152.59319444444444,105.59970780407404,320.1388888888888,104.99356569084597,23.76,384.6825,54
LA MERCED,MT4,MAYOR,199.5,142.12846301849606,393.6,36.91097397793777,99.0,300.0,2
LA PAMPA,BT5B,C,51.456168407310706,61.80489951794232,46.75561357702354,60.3579034475012,0.4,1085.0,9192
LA PAMPA,BT5B,COMÚN,54.06853582554517,62.9096696713788,54.149844236760096,66.22693566660145,1.0,515.0,321
LA PAMPA,MT4,M,3948.272419753087,3773.2583697512055,2492.532098765433,2340.28541340726,908.9191,14853.097,81
LA PAMPA,MT4,MAYOR,3671.6666666666665,4284.183975196833,2317.9,2819.3579109435536,980.0,8612.0,3
LA PRIMAVERA,BT5B,C,18.333701657458565,43.081107180818485,16.028492501973176,41.20289710568707,0.37,1042.0,2534
LA PRIMAVERA,BT5B,COMÚN,15.136363636363637,21.888002181524755,15.301136363636369,21.538938245948895,1.0,182.0,88
LA UNIÃ³N,BT5B,C,67.0,9.273618495495704,58.96666666666667,7.214060345371859,57.0,81.0,6
LA UNIÓN,BT5B,C,56.0,0.0,51.7,0.0,56.0,56.0,1
LA VICTORIA,BT5B,C,2542.366666666667,1359.837257419676,2329.8333333333335,1212.0962349032634,327.0,4057.0,6
LA VICTORIA,BT6,C,1000.0,0.0,342.14,8.29741592974048,1000.0,1000.0,10
LACABAMBA,BT5B,C,30.829106170598912,62.48768674836551,29.950226860254013,60.3904529107228,1.0,1825.0,4408
LACABAMBA,BT5B,COMÚN,26.35333333333333,45.65322113008646,29.203999999999983,47.41204202372072,1.0,312.0,150
LAGUNAS,BT5B,C,6.954545454545454,9.921008362379649,8.531818181818183,5.802494239026816,1.0,40.0,22
LAJAS,BT5B,C,54.714285714285715,8.649525172764443,54.599999999999994,11.398157745881571,40.0,74.0,21
LAJAS,BT5B,COMÚN,48.0,0.0,49.7,0.0,48.0,48.0,1
LAMBAYEQUE,BT5B,C,58.333333333333336,44.993602238809935,53.56666666666666,39.47743505837073,23.0,132.0,12
